n:1 mse_avg:1.72 mse_y:2.25 mse_u:0.67 mse_v:0.64 psnr_avg:45.79 psnr_y:44.62 psnr_u:49.86 psnr_v:50.08 
n:2 mse_avg:6.54 mse_y:9.50 mse_u:0.64 mse_v:0.60 psnr_avg:39.97 psnr_y:38.35 psnr_u:50.04 psnr_v:50.33 
n:3 mse_avg:17.34 mse_y:25.65 mse_u:0.74 mse_v:0.68 psnr_avg:35.74 psnr_y:34.04 psnr_u:49.44 psnr_v:49.79 
n:4 mse_avg:16.30 mse_y:24.10 mse_u:0.73 mse_v:0.70 psnr_avg:36.01 psnr_y:34.31 psnr_u:49.47 psnr_v:49.71 
n:5 mse_avg:14.45 mse_y:21.31 mse_u:0.73 mse_v:0.71 psnr_avg:36.53 psnr_y:34.85 psnr_u:49.52 psnr_v:49.61 
n:6 mse_avg:10.00 mse_y:14.64 mse_u:0.75 mse_v:0.71 psnr_avg:38.13 psnr_y:36.48 psnr_u:49.38 psnr_v:49.62 
n:7 mse_avg:9.06 mse_y:13.22 mse_u:0.77 mse_v:0.72 psnr_avg:38.56 psnr_y:36.92 psnr_u:49.27 psnr_v:49.56 
n:8 mse_avg:8.66 mse_y:12.59 mse_u:0.83 mse_v:0.77 psnr_avg:38.75 psnr_y:37.13 psnr_u:48.93 psnr_v:49.25 
n:9 mse_avg:8.71 mse_y:12.63 mse_u:0.88 mse_v:0.83 psnr_avg:38.73 psnr_y:37.12 psnr_u:48.67 psnr_v:48.93 
n:10 mse_avg:9.02 mse_y:13.09 mse_u:0.92 mse_v:0.86 psnr_avg:38.58 psnr_y:36.96 psnr_u:48.50 psnr_v:48.79 
n:11 mse_avg:9.96 mse_y:14.49 mse_u:0.95 mse_v:0.86 psnr_avg:38.15 psnr_y:36.52 psnr_u:48.38 psnr_v:48.77 
n:12 mse_avg:14.21 mse_y:20.81 mse_u:1.07 mse_v:0.95 psnr_avg:36.61 psnr_y:34.95 psnr_u:47.84 psnr_v:48.35 
n:13 mse_avg:39.87 mse_y:58.25 mse_u:3.21 mse_v:2.98 psnr_avg:32.12 psnr_y:30.48 psnr_u:43.07 psnr_v:43.38 
n:14 mse_avg:47.29 mse_y:69.44 mse_u:3.06 mse_v:2.87 psnr_avg:31.38 psnr_y:29.71 psnr_u:43.27 psnr_v:43.55 
n:15 mse_avg:48.03 mse_y:70.58 mse_u:3.02 mse_v:2.84 psnr_avg:31.32 psnr_y:29.64 psnr_u:43.34 psnr_v:43.60 
n:16 mse_avg:48.00 mse_y:70.44 mse_u:3.17 mse_v:3.04 psnr_avg:31.32 psnr_y:29.65 psnr_u:43.11 psnr_v:43.30 
n:17 mse_avg:53.08 mse_y:78.01 mse_u:3.30 mse_v:3.13 psnr_avg:30.88 psnr_y:29.21 psnr_u:42.95 psnr_v:43.18 
n:18 mse_avg:55.85 mse_y:82.12 mse_u:3.38 mse_v:3.22 psnr_avg:30.66 psnr_y:28.99 psnr_u:42.84 psnr_v:43.06 
n:19 mse_avg:56.46 mse_y:83.04 mse_u:3.36 mse_v:3.24 psnr_avg:30.61 psnr_y:28.94 psnr_u:42.87 psnr_v:43.03 
n:20 mse_avg:54.29 mse_y:79.77 mse_u:3.38 mse_v:3.24 psnr_avg:30.78 psnr_y:29.11 psnr_u:42.85 psnr_v:43.02 
n:21 mse_avg:50.34 mse_y:73.88 mse_u:3.35 mse_v:3.16 psnr_avg:31.11 psnr_y:29.45 psnr_u:42.88 psnr_v:43.13 
n:22 mse_avg:44.39 mse_y:64.95 mse_u:3.37 mse_v:3.15 psnr_avg:31.66 psnr_y:30.00 psnr_u:42.86 psnr_v:43.15 
n:23 mse_avg:40.90 mse_y:59.73 mse_u:3.38 mse_v:3.12 psnr_avg:32.01 psnr_y:30.37 psnr_u:42.84 psnr_v:43.19 
n:24 mse_avg:36.51 mse_y:53.14 mse_u:3.42 mse_v:3.08 psnr_avg:32.51 psnr_y:30.88 psnr_u:42.79 psnr_v:43.24 
n:25 mse_avg:38.48 mse_y:55.91 mse_u:3.73 mse_v:3.51 psnr_avg:32.28 psnr_y:30.66 psnr_u:42.41 psnr_v:42.67 
n:26 mse_avg:30.56 mse_y:44.13 mse_u:3.54 mse_v:3.31 psnr_avg:33.28 psnr_y:31.68 psnr_u:42.64 psnr_v:42.93 
n:27 mse_avg:26.68 mse_y:38.36 mse_u:3.45 mse_v:3.21 psnr_avg:33.87 psnr_y:32.29 psnr_u:42.75 psnr_v:43.06 
n:28 mse_avg:27.40 mse_y:39.35 mse_u:3.63 mse_v:3.36 psnr_avg:33.75 psnr_y:32.18 psnr_u:42.53 psnr_v:42.87 
n:29 mse_avg:28.26 mse_y:40.64 mse_u:3.62 mse_v:3.36 psnr_avg:33.62 psnr_y:32.04 psnr_u:42.54 psnr_v:42.87 
n:30 mse_avg:24.27 mse_y:34.67 mse_u:3.61 mse_v:3.36 psnr_avg:34.28 psnr_y:32.73 psnr_u:42.56 psnr_v:42.86 
n:31 mse_avg:24.04 mse_y:34.32 mse_u:3.60 mse_v:3.36 psnr_avg:34.32 psnr_y:32.78 psnr_u:42.57 psnr_v:42.87 
n:32 mse_avg:23.69 mse_y:33.79 mse_u:3.63 mse_v:3.38 psnr_avg:34.38 psnr_y:32.84 psnr_u:42.54 psnr_v:42.84 
n:33 mse_avg:28.33 mse_y:40.73 mse_u:3.66 mse_v:3.39 psnr_avg:33.61 psnr_y:32.03 psnr_u:42.49 psnr_v:42.83 
n:34 mse_avg:35.57 mse_y:51.57 mse_u:3.69 mse_v:3.48 psnr_avg:32.62 psnr_y:31.01 psnr_u:42.46 psnr_v:42.72 
n:35 mse_avg:41.50 mse_y:60.47 mse_u:3.67 mse_v:3.48 psnr_avg:31.95 psnr_y:30.32 psnr_u:42.48 psnr_v:42.72 
n:36 mse_avg:40.10 mse_y:58.35 mse_u:3.70 mse_v:3.48 psnr_avg:32.10 psnr_y:30.47 psnr_u:42.44 psnr_v:42.72 
n:37 mse_avg:42.62 mse_y:62.08 mse_u:3.78 mse_v:3.59 psnr_avg:31.83 psnr_y:30.20 psnr_u:42.35 psnr_v:42.58 
n:38 mse_avg:39.32 mse_y:57.21 mse_u:3.58 mse_v:3.49 psnr_avg:32.18 psnr_y:30.56 psnr_u:42.59 psnr_v:42.70 
n:39 mse_avg:37.47 mse_y:54.50 mse_u:3.45 mse_v:3.36 psnr_avg:32.39 psnr_y:30.77 psnr_u:42.75 psnr_v:42.87 
n:40 mse_avg:28.62 mse_y:41.26 mse_u:3.43 mse_v:3.24 psnr_avg:33.56 psnr_y:31.98 psnr_u:42.77 psnr_v:43.03 
n:41 mse_avg:25.06 mse_y:35.86 mse_u:3.63 mse_v:3.30 psnr_avg:34.14 psnr_y:32.58 psnr_u:42.53 psnr_v:42.95 
n:42 mse_avg:27.16 mse_y:39.01 mse_u:3.60 mse_v:3.31 psnr_avg:33.79 psnr_y:32.22 psnr_u:42.56 psnr_v:42.93 
n:43 mse_avg:29.43 mse_y:42.42 mse_u:3.59 mse_v:3.28 psnr_avg:33.44 psnr_y:31.85 psnr_u:42.58 psnr_v:42.97 
n:44 mse_avg:28.88 mse_y:41.59 mse_u:3.59 mse_v:3.29 psnr_avg:33.53 psnr_y:31.94 psnr_u:42.59 psnr_v:42.96 
n:45 mse_avg:32.89 mse_y:47.60 mse_u:3.65 mse_v:3.30 psnr_avg:32.96 psnr_y:31.36 psnr_u:42.51 psnr_v:42.95 
n:46 mse_avg:33.60 mse_y:48.65 mse_u:3.67 mse_v:3.36 psnr_avg:32.87 psnr_y:31.26 psnr_u:42.48 psnr_v:42.87 
n:47 mse_avg:29.93 mse_y:43.14 mse_u:3.69 mse_v:3.34 psnr_avg:33.37 psnr_y:31.78 psnr_u:42.46 psnr_v:42.89 
n:48 mse_avg:28.56 mse_y:41.09 mse_u:3.65 mse_v:3.36 psnr_avg:33.57 psnr_y:31.99 psnr_u:42.50 psnr_v:42.87 
n:49 mse_avg:35.30 mse_y:51.13 mse_u:3.74 mse_v:3.52 psnr_avg:32.65 psnr_y:31.04 psnr_u:42.40 psnr_v:42.66 
